job_id,n,k,t,lambda,dd_mode,batch_idx,n_batches,status,qpu_seconds,executions,created,running,finished,queue_seconds,run_seconds,total_seconds
d82vui7tjchs73bojqpg,5,2,1,0.2,on,0,4,DONE,9.0,,2026-05-14 16:58:49.380922+00:00,2026-05-14 16:58:52.758910+00:00,2026-05-14 17:02:48.594676+00:00,3.377988,235.835766,239.213754
d8300iugbeec73ambufg,5,2,1,0.2,on,1,4,DONE,11.0,,2026-05-14 17:03:07.668683+00:00,2026-05-14 17:03:11.284747+00:00,2026-05-14 17:07:08.217962+00:00,3.6160639999999997,236.933215,240.54927899999998
d8302jnoha1c73bm4ea0,5,2,1,0.2,on,2,4,DONE,8.0,,2026-05-14 17:07:27.191526+00:00,2026-05-14 17:07:31.344656+00:00,2026-05-14 17:11:24.921370+00:00,4.15313,233.576714,237.729844
d8304jmgbeec73amc2gg,5,2,1,0.2,on,3,4,DONE,11.0,,2026-05-14 17:11:43.311500+00:00,2026-05-14 17:11:48.038343+00:00,2026-05-14 17:15:49.801147+00:00,4.726843,241.762804,246.489647
d8306mmgbeec73amc50g,5,2,1,0.3,on,0,4,DONE,8.0,,2026-05-14 17:16:10.851822+00:00,2026-05-14 17:16:12.462930+00:00,2026-05-14 17:20:08.606043+00:00,1.611108,236.143113,237.754221
d8308mntjchs73bok5ag,5,2,1,0.3,on,1,4,DONE,8.0,,2026-05-14 17:20:27.353089+00:00,2026-05-14 17:20:30.562803+00:00,2026-05-14 17:24:26.557056+00:00,3.209714,235.994253,239.20396699999998
d830anfoha1c73bm4nsg,5,2,1,0.3,on,2,4,DONE,8.0,,2026-05-14 17:24:46.122223+00:00,2026-05-14 17:25:08.146258+00:00,2026-05-14 17:29:09.662950+00:00,22.024035,241.516692,263.540727
d830cu6gbeec73amcd20,5,2,1,0.3,on,3,4,DONE,8.0,,2026-05-14 17:29:29.249636+00:00,2026-05-14 17:29:47.007622+00:00,2026-05-14 17:33:47.248822+00:00,17.757986,240.2412,257.999186
d830f3mgbeec73amcfug,5,2,1,0.4,on,0,4,DONE,11.0,,2026-05-14 17:34:07.320087+00:00,2026-05-14 17:34:08.761288+00:00,2026-05-14 17:38:36.927224+00:00,1.441201,268.165936,269.60713699999997
d830hbo0bvlc73d2s9qg,5,2,1,0.4,on,1,4,DONE,11.0,,2026-05-14 17:38:56.236171+00:00,2026-05-14 17:38:57.119886+00:00,2026-05-14 17:43:02.319730+00:00,0.883715,245.199844,246.083559
d830je6gbeec73amcl00,5,2,1,0.4,on,2,4,DONE,15.0,,2026-05-14 17:43:21.095037+00:00,2026-05-14 17:43:37.678142+00:00,2026-05-14 17:47:53.252338+00:00,16.583105,255.574196,272.157301
d830lmo0bvlc73d2sep0,5,2,1,0.4,on,3,4,DONE,15.0,,2026-05-14 17:48:12.262786+00:00,2026-05-14 17:48:27.518753+00:00,2026-05-14 17:52:29.278709+00:00,15.255967,241.759956,257.015923
d830nsg0bvlc73d2sh0g,5,2,1,0.5,on,0,4,DONE,11.0,,2026-05-14 17:52:50.961384+00:00,2026-05-14 17:52:58.279604+00:00,2026-05-14 17:57:20.547084+00:00,7.31822,262.26748,269.5857
d830q4voha1c73bm59dg,5,2,1,0.5,on,1,4,DONE,11.0,,2026-05-14 17:57:39.798929+00:00,2026-05-14 17:57:45.818364+00:00,2026-05-14 18:01:48.078389+00:00,6.019435,242.260025,248.27946
d830s7noha1c73bm5bgg,5,2,1,0.5,on,2,4,DONE,11.0,,2026-05-14 18:02:07.322880+00:00,2026-05-14 18:02:16.900014+00:00,2026-05-14 18:06:16.900064+00:00,9.577134000000001,240.00005,249.577184
d830ubmgbeec73amd170,5,2,1,0.5,on,3,4,DONE,11.0,,2026-05-14 18:06:38.740151+00:00,2026-05-14 18:06:55.341759+00:00,2026-05-14 18:11:00.983955+00:00,16.601608,245.642196,262.243804
d8310ig0bvlc73d2sq6g,5,2,1,0.6,on,0,4,DONE,11.0,,2026-05-14 18:11:22.981819+00:00,2026-05-14 18:11:26.931082+00:00,2026-05-14 18:15:44.155171+00:00,3.949263,257.224089,261.17335199999997
d8312ontjchs73bol1pg,5,2,1,0.6,on,1,4,DONE,11.0,,2026-05-14 18:16:02.693438+00:00,2026-05-14 18:16:34.179948+00:00,2026-05-14 18:20:44.100812+00:00,31.48651,249.920864,281.407374
d83153voha1c73bm5kk0,5,2,1,0.6,on,2,4,DONE,11.0,,2026-05-14 18:21:03.948738+00:00,2026-05-14 18:21:23.143186+00:00,2026-05-14 18:25:23.881603+00:00,19.194448,240.738417,259.932865
d83179ftjchs73bol6ig,5,2,1,0.6,on,3,4,DONE,11.0,,2026-05-14 18:25:42.424600+00:00,2026-05-14 18:26:06.666355+00:00,2026-05-14 18:30:10.464271+00:00,24.241755,243.797916,268.039671
d8319hugbeec73amddog,5,2,1,0.7,on,0,4,DONE,11.0,,2026-05-14 18:30:31.939864+00:00,2026-05-14 18:30:37.498897+00:00,2026-05-14 18:34:49.981213+00:00,5.559033,252.482316,258.041349
d831bn6gbeec73amdg2g,5,2,1,0.7,on,1,4,DONE,11.0,,2026-05-14 18:35:09.126714+00:00,2026-05-14 18:35:15.190400+00:00,2026-05-14 18:39:20.389780+00:00,6.063686,245.19938,251.26306599999998
d831dqnoha1c73bm5u5g,5,2,1,0.7,on,2,4,DONE,8.0,,2026-05-14 18:39:38.816510+00:00,2026-05-14 18:39:59.629028+00:00,2026-05-14 18:44:01.599102+00:00,20.812518,241.970074,262.782592
d831g1foha1c73bm60v0,5,2,1,0.7,on,3,4,DONE,16.0,,2026-05-14 18:44:21.446236+00:00,2026-05-14 18:44:27.333571+00:00,2026-05-14 18:48:35.073070+00:00,5.887335,247.739499,253.626834
d831i5o0bvlc73d2tea0,5,2,1,0.8,on,0,4,DONE,15.0,,2026-05-14 18:48:56.509452+00:00,2026-05-14 18:49:01.285746+00:00,2026-05-14 18:53:07.779843+00:00,4.776294,246.494097,251.27039100000002
d831k9vtjchs73bollo0,5,2,1,0.8,on,1,4,DONE,8.0,,2026-05-14 18:53:27.583896+00:00,2026-05-14 18:53:33.123837+00:00,2026-05-14 18:57:51.338696+00:00,5.539941,258.214859,263.7548
d831mgfoha1c73bm69ug,5,2,1,0.8,on,2,4,DONE,7.0,,2026-05-14 18:58:09.882607+00:00,2026-05-14 18:58:10.674393+00:00,2026-05-14 19:02:29.924407+00:00,0.791786,259.250014,260.0418
d831omfoha1c73bm6cog,5,2,1,0.8,on,3,4,DONE,7.0,,2026-05-14 19:02:49.697237+00:00,2026-05-14 19:02:50.450007+00:00,2026-05-14 19:06:55.941944+00:00,0.75277,245.491937,246.244707
d831qpftjchs73boltig,5,2,1,0.9,on,0,4,DONE,7.0,,2026-05-14 19:07:18.018672+00:00,2026-05-14 19:07:19.076038+00:00,2026-05-14 19:11:24.362204+00:00,1.057366,245.286166,246.343532
d831srugbeec73ame6cg,5,2,1,0.9,on,1,4,DONE,7.0,,2026-05-14 19:11:43.568230+00:00,2026-05-14 19:11:44.247347+00:00,2026-05-14 19:15:46.034194+00:00,0.679117,241.786847,242.46596399999999
d831utegbeec73ame8n0,5,2,1,0.9,on,2,4,DONE,7.0,,2026-05-14 19:16:06.497307+00:00,2026-05-14 19:16:07.194624+00:00,2026-05-14 19:20:47.980496+00:00,0.697317,280.785872,281.483189
d83218g0bvlc73d2u010,5,2,1,0.9,on,3,4,DONE,7.0,,2026-05-14 19:21:06.955084+00:00,2026-05-14 19:21:07.754642+00:00,2026-05-14 19:25:09.572033+00:00,0.799558,241.817391,242.61694899999998
